,uri,tituloOriginal,tituloExtraido,codigo
24,https://w3id.org/scholarlydata/inproceedings/dc-2010/paper/main/A-1018,Visualizing Metadata for Environmental Datasets,Visualizing Metadata for Environmental Datasets,13f5c47b6bf612a03a5858dd6a0ba9314bb75dd8
25,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-752,Digital Humanities Internships: Creating a Model iSchool-Digital Humanities Center Partnership,Digital Humanities Internships: Creating a Model iSchool-Digital Humanities Center Partnership,9dfe9d7e707cd68ac8d7ce3412c04bf8ce24e1c5
26,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/session/ab-709,Coalition of Humanities and Arts Infrastructures and Networks - CHAIN,Coalition of Humanities and Arts Infrastructures and Networks - CHAIN,8795df68278c6e6ecfcb7ca8fda4f58928a4d9b0
27,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-789,A New Spatial Analysis of the Early Chesapeake Architecture,A New Spatial Analysis of the Early Chesapeake Architecture,f2b4bd7b8de3f3d82f88a4aa5b5298ff51d4274b
28,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-764,How Do You Visualize a Million Links?,How Do You Visualize a Million Links?,bfa5c2749f9cb12b39746a298f6898f1e52d32e9
29,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-637,Detection of Citations and Textual Reuse on Ancient Greek Texts and its Applications in the Classical Studies: eAQUA Project,Detection of Citations and Textual Reuse on Ancient Greek Texts and its Applications in the Classical Studies: eAQUA Project,bcf587991df12948d54bd2ef0151aad1e9b466e9
30,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-657,Visualization and Analysis of Visiting Styles in 3D Virtual Museums,Visualization and Analysis of Visiting Styles in 3D Virtual Museums,5291325662bc69b3e442b4b17e55714686fe5e72
31,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-742,Codifica digitale e semiotica della cultura: un esperimento,Codifica digitale e semiotica della cultura: un esperimento,c3e7e8cdaeae2f0ff2ae269e055e183783ee62d8
32,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-841,"Original, Translation, Inflation. Are All Translations Longer than Their Originals?","Original, Translation, Inflation. Are All Translations Longer than Their Originals?",11cc24d2403416c0720fae5b2dcf713ae9ca7531
33,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-732,Museums of the virtual future,Museums of the virtual future,7e9b0cac2e88cc37621a154099ddaddc815e4af8
34,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-693,Using the Universal Similarity Metric to Map Correspondences between Witnesses,Using the Universal Similarity Metric to Map Correspondences between Witnesses,ffd56437156ab9c695926c30c81a185e61e06f02
35,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-750,Using ODD for Multi-purpose TEI Documentation,Using ODD for Multi-purpose TEI Documentation,34a669fdce849ffb9b2249ac42612e9e062ff51c
36,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-888,Putting Edmonton on the (Google) Map,Putting Edmonton on the (Google) Map,2b1b3e5c8df78731b9bc68b55f2c415532a832e6
37,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/keynotes/ab-004,To Hold Up a Mirror: Preservation and Interpretation of Performance in a Digital Age,To Hold Up a Mirror: Preservation and Interpretation of Performance in a Digital Age,de7163e10f5bb8aadcf5a216f5ca3fbd936c1c13
38,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-599,Creative Engagement with Creative Works: a New Paradigm for Collaboration,Creative Engagement with Creative Works: a New Paradigm for Collaboration,154c520ca21a2781d419977338040201a1bf9c19
39,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-842,Cultures of Knowledge: An Intellectual Geography of the Seventeenth-Century Republic Letters,Cultures of Knowledge: An Intellectual Geography of the Seventeenth-Century Republic Letters,829f3b4a5bed4553b600b7bd6316d38273f0474c
40,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-731,A corpus approach to cultural keywords: a critical corpus-based analysis of ideology in the Blair years (1998-2007) through print news reporting,A corpus approach to cultural keywords: a critical corpus-based analysis of ideology in the Blair years (1998-2007) through print news reporting,452c48a05e14005e44e5082a34ab9c61d8c152dd
41,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-786,Re-linking a Dictionary Universe or the Meta-dictionary Ten Years Later,Re-linking a Dictionary Universe or the Meta-dictionary Ten Years Later,5f61ca1c7e0e36510350feb2e23eca35c0566f99
